cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;n7;n8;p1;p2;p3;p4;p5;p6;p7;p8;mojo;evals;tempo
8;forms-1.3.0 68C.odem;68;-2.0;-1.5;2.5;-0.5;0.5;1.5;2.5;0.0;1; 2; 10; 4; 6; 8; 10; 5;95.45;4007;899985 ms
9;forms-1.3.0 68C.odem;68;2.5;-2.5;1.0;-1.5;1.0;2.5;-1.0;2.0;10; 0; 7; 2; 7; 10; 3; 9;98.44;4003;892327 ms
7;jscatterplot 74C.odem;74;0.0;-2.0;-1.0;2.0;-2.0;2.5;2.0;0.0;5; 1; 3; 9; 1; 10; 9; 5;98.61;4006;1065480 ms
5;jscatterplot 74C.odem;74;1.5;2.5;1.0;2.0;-0.5;-1.0;1.5;0.0;8; 10; 7; 9; 4; 3; 8; 5;98.61;4001;1078087 ms
8;jscatterplot 74C.odem;74;2.0;-1.0;2.0;-1.5;-0.5;1.5;0.5;1.0;9; 3; 9; 2; 4; 8; 6; 7;98.61;4001;1086806 ms
6;jscatterplot 74C.odem;74;1.0;1.5;-2.5;0.5;-1.0;-1.0;-1.0;-1.0;7; 8; 0; 6; 3; 3; 3; 3;98.61;4009;1095285 ms
9;jscatterplot 74C.odem;74;1.5;-2.5;1.5;1.5;0.0;2.5;-0.5;0.5;8; 0; 8; 8; 5; 10; 4; 6;98.61;4008;1085731 ms
0;JPassword 96C.odem;96;-1.0;-1.0;1.5;0.0;2.0;1.0;-1.5;0.0;3; 3; 8; 5; 9; 7; 2; 5;75.86;4006;2462193 ms
3;JPassword 96C.odem;96;2.5;1.5;0.0;1.5;-1.0;-0.5;-1.0;-0.5;10; 8; 5; 8; 3; 4; 3; 4;84.44;4002;2482307 ms
2;JPassword 96C.odem;96;-2.0;0.5;0.0;0.0;-0.5;-2.0;-1.0;0.5;1; 6; 5; 5; 4; 1; 3; 6;87.5;4001;2486856 ms
4;JPassword 96C.odem;96;0.5;2.5;-0.5;0.0;-1.5;-1.0;0.5;1.0;6; 10; 4; 5; 2; 3; 6; 7;95.51;4000;2488108 ms
1;JPassword 96C.odem;96;2.0;2.0;1.5;1.0;0.5;2.0;1.0;1.5;9; 9; 8; 7; 6; 9; 7; 8;84.62;4006;2491422 ms
0;junit-3.8.1 100C.odem;100;-2.5;2.5;0.5;1.0;0.0;-2.5;-2.0;-2.0;0; 10; 6; 7; 5; 0; 1; 1;93.68;4009;2706662 ms
3;junit-3.8.1 100C.odem;100;0.0;0.0;-2.5;-1.0;-1.5;-2.0;0.5;-2.5;5; 5; 0; 3; 2; 1; 6; 0;92.71;4007;2713669 ms
1;junit-3.8.1 100C.odem;100;-1.0;2.5;-2.0;0.0;-0.5;-2.0;1.0;-2.5;3; 10; 1; 5; 4; 1; 7; 0;92.63;4005;2715279 ms
